file_path, caption
background_asset/KYJ/1_modern_18/modernA1.jpg,"The mood of this studio image is promising and studio lightening is cozy,
    this image includes a washbasin, handbasin, and the background color is Gray."
background_asset/KYJ/1_modern_18/modernA2.jpg,"The mood of this studio image is grave and studio lightening is cozy,
    this image includes a tableware, and the background color is Navy blue."
background_asset/KYJ/1_modern_18/modernA3.jpg,"The mood of this studio image is promising and studio lightening is cozy,
    this image includes a eyecup, eyebath, and the background color is Gray."
background_asset/KYJ/1_modern_18/modernA4.jpg,"The mood of this studio image is promising and studio lightening is cozy,
    this image includes a eyecup, eyebath, and the background color is Navy blue."
background_asset/KYJ/1_modern_18/modernA_v1.jpg,"The mood of this studio image is promising and studio lightening is cozy,
    this image includes a washbasin, handbasin, and the background color is Gray."
background_asset/KYJ/1_modern_18/modernA_v2.jpg,"The mood of this studio image is promising and studio lightening is cozy,
    this image includes a coffee table, cocktail table, and the background color is Gray."
background_asset/KYJ/1_modern_18/modernB1.jpg,"The mood of this studio image is solitary and studio lightening is cozy,
    this image includes a drop-leaf table, and the background color is Navy blue."
background_asset/KYJ/1_modern_18/modernB2.jpg,"The mood of this studio image is dull and studio lightening is concentrated,
    this image includes a tabletop, and the background color is Navy blue."
background_asset/KYJ/1_modern_18/modernB3.jpg,"The mood of this studio image is solitary and studio lightening is cozy,
    this image includes a table, and the background color is Navy blue."
background_asset/KYJ/1_modern_18/modernB4.jpg,"The mood of this studio image is solitary and studio lightening is cozy,
    this image includes a tea table, and the background color is Navy blue."
background_asset/KYJ/1_modern_18/modernB_v1.jpg,"The mood of this studio image is solitary and studio lightening is cozy,
    this image includes a table, and the background color is Navy blue."
background_asset/KYJ/1_modern_18/modernB_v2.jpg,"The mood of this studio image is solitary and studio lightening is cozy,
    this image includes a base, pedestal, and the background color is Navy blue."
background_asset/KYJ/1_modern_18/modernC1.jpg,"The mood of this studio image is solitary and studio lightening is cozy,
    this image includes a base, pedestal, and the background color is Navy blue."
background_asset/KYJ/1_modern_18/modernC2.jpg,"The mood of this studio image is solitary and studio lightening is cozy,
    this image includes a base, pedestal, and the background color is Navy blue."
background_asset/KYJ/1_modern_18/modernC3.jpg,"The mood of this studio image is solitary and studio lightening is cozy,
    this image includes a base, pedestal, and the background color is Navy blue."
background_asset/KYJ/1_modern_18/modernC4.jpg,"The mood of this studio image is solitary and studio lightening is cozy,
    this image includes a table-tennis table, ping-pong table, and the background color is Gray."
background_asset/KYJ/1_modern_18/modernC_v1.jpg,"The mood of this studio image is solitary and studio lightening is concentrated,
    this image includes a base, pedestal, and the background color is Navy blue."
background_asset/KYJ/1_modern_18/modernC_v2.jpg,"The mood of this studio image is promising and studio lightening is concentrated,
    this image includes a gyroscope, gyro, and the background color is Gray."
background_asset/KYJ/2_luxury_12/luxury1.jpg,"The mood of this studio image is wearisome and studio lightening is well-lit,
    this image includes a console table, console, and the background color is Teal."
background_asset/KYJ/2_luxury_12/luxury10.jpg,"The mood of this studio image is solitary and studio lightening is cozy,
    this image includes a drop-leaf table, and the background color is Teal."
background_asset/KYJ/2_luxury_12/luxury11.jpg,"The mood of this studio image is solitary and studio lightening is cozy,
    this image includes a drop-leaf table, and the background color is Navy blue."
background_asset/KYJ/2_luxury_12/luxury12.jpg,"The mood of this studio image is cozy and studio lightening is cozy,
    this image includes a credenza, credence, and the background color is Teal."
background_asset/KYJ/2_luxury_12/luxury2.jpg,"The mood of this studio image is brisk and studio lightening is cozy,
    this image includes a tiara, and the background color is Teal."
background_asset/KYJ/2_luxury_12/luxury3.jpg,"The mood of this studio image is monotonous and studio lightening is cozy,
    this image includes a console table, console, and the background color is Aquamarine."
background_asset/KYJ/2_luxury_12/luxury4.jpg,"The mood of this studio image is wearisome and studio lightening is well-lit,
    this image includes a pedestal table, and the background color is Teal."
background_asset/KYJ/2_luxury_12/luxury5.jpg,"The mood of this studio image is solitary and studio lightening is dark,
    this image includes a base, pedestal, and the background color is Navy blue."
background_asset/KYJ/2_luxury_12/luxury6.jpg,"The mood of this studio image is solitary and studio lightening is cozy,
    this image includes a coffee table, cocktail table, and the background color is Navy blue."
background_asset/KYJ/2_luxury_12/luxury7.jpg,"The mood of this studio image is solitary and studio lightening is cozy,
    this image includes a coffee table, cocktail table, and the background color is Navy blue."
background_asset/KYJ/2_luxury_12/luxury8.jpg,"The mood of this studio image is solitary and studio lightening is dark,
    this image includes a coffee table, cocktail table, and the background color is Navy blue."
background_asset/KYJ/2_luxury_12/luxury9.jpg,"The mood of this studio image is moving and studio lightening is cozy,
    this image includes a credenza, credence, and the background color is Navy blue."
background_asset/KYJ/3_nature_12/natureA-v1.jpg,"The mood of this studio image is cozy and studio lightening is cozy,
    this image includes a drop-leaf table, and the background color is Navy blue."
background_asset/KYJ/3_nature_12/natureA-v2.jpg,"The mood of this studio image is relaxing and studio lightening is cozy,
    this image includes a drop-leaf table, and the background color is Navy blue."
background_asset/KYJ/3_nature_12/natureA1.jpg,"The mood of this studio image is relaxing and studio lightening is cozy,
    this image includes a washbasin, handbasin, and the background color is Navy blue."
background_asset/KYJ/3_nature_12/natureA2.jpg,"The mood of this studio image is relaxing and studio lightening is grow,
    this image includes a pot, flowerpot, and the background color is Olive."
background_asset/KYJ/3_nature_12/natureA3.jpg,"The mood of this studio image is relaxing and studio lightening is cozy,
    this image includes a pedestal table, and the background color is Navy blue."
background_asset/KYJ/3_nature_12/natureA4.jpg,"The mood of this studio image is cozy and studio lightening is cozy,
    this image includes a serving dish, and the background color is Navy blue."
background_asset/KYJ/3_nature_12/natureB-v1.jpg,"The mood of this studio image is cozy and studio lightening is cozy,
    this image includes a furniture, piece of furniture, and the background color is Navy blue."
background_asset/KYJ/3_nature_12/natureB-v2.jpg,"The mood of this studio image is cozy and studio lightening is cozy,
    this image includes a planter, and the background color is Teal."
background_asset/KYJ/3_nature_12/natureB1.jpg,"The mood of this studio image is cozy and studio lightening is cozy,
    this image includes a base, pedestal, and the background color is Teal."
